country,CRI_equal_weights_0_to_100,CRI_economic_focus_0_to_100,CRI_governance_focus_0_to_100,CRI_sovereign_focus_0_to_100,CRI_trade_focus_0_to_100,CRI_pca_weights_0_to_100
Equatorial Guinea,77.87645590878441,77.91358834183573,83.80056379406392,69.42258993028337,78.64326114769158,70.53261942507861
Panama,35.7149186727388,35.82281555710515,40.43808001855304,32.12117600594539,33.61768373281948,35.213764907840314
Poland,38.85685353487493,38.39956049303282,37.87615491157528,37.083923765213186,41.01800992683029,34.68335119622111
El Salvador,84.70215425073346,84.72783034633426,79.57069598659979,87.07139338849692,84.94750581211945,83.74810734306706
Fiji,44.30114401156816,44.39462966795752,44.215666970185254,50.75198400400834,36.029513206177526,57.84780929625192
Afghanistan,90.83167819663099,90.84706642259304,99.0539607631559,78.64420976740122,92.91803010745602,79.40416485437072
Zambia,55.19722038455884,55.27241793011143,58.42463551998821,59.339065181457116,45.70881031655942,70.25014111464165
Portugal,30.816437599126285,31.989507012494165,28.336524130795816,30.725540787652427,31.672123922940404,27.42618592397841
Palau,31.8512817485026,31.965663409396278,32.541057203782664,36.66154194414292,24.905231914729303,43.112819219580615
Egypt,89.3696525302024,89.38749463832518,86.99592582472413,89.26660877581975,89.3214210470109,86.44021086065558
Finland,21.56157594617427,21.373641373428672,15.376206549956747,16.66916483737883,32.77500585156219,2.1463523607371178
Pakistan,73.47837797333827,73.52289219539317,78.63544222020978,78.34182255734933,60.70742447229587,92.64352324851895
Puerto Rico,38.0389738681915,38.14297002925615,39.46279009818684,41.06598542871593,32.09854154195118,47.10317000253592
Ecuador,77.56232489538351,77.59998456985586,77.0670363715658,80.79821551547566,72.27931350986391,84.61574477728627
Qatar,25.53135159604117,25.65634070673165,27.1463426241519,21.241193369390977,27.681189752752772,19.033453249618574
Reunion,43.10645412986246,43.20194496868853,46.72857274731927,44.67305410472516,36.34079094555029,52.57086700051804
France,17.2322139821363,18.449867787435878,17.562774965947366,16.27779067820173,16.48384229528469,16.91284792812641
Oman,60.097168275643774,60.16414168738351,57.23013984877122,59.04132200282909,62.40467765286264,55.395113250360616
Dominican Republic,62.47649453603275,62.53947445682425,59.61056198146605,65.59838893810742,60.183227134370924,66.18309419397565
Romania,51.48779832469516,51.5692218106183,49.814234849428466,51.659392473421484,51.47023321872843,49.72751791004993
Dominica,53.71633964576462,53.79402272006719,48.35294216802034,52.22524646153076,59.25037027339983,43.66247319529541
French Guiana,26.090043136053342,26.214094531876796,24.21200939084311,32.56065111459913,20.152968443669614,36.82819164978205
French Polynesia,39.16610192854505,39.2682063037788,43.78022086334782,41.86828323954385,30.25342703005266,51.751483515727394
Russia,61.58148732236503,61.64596943445576,70.27611585967792,58.36531196828785,54.25665840849866,68.93306532598092
Norway,30.60243465925017,31.047503139832465,22.060474735151782,26.265239218969903,42.893672935806514,8.60634129504263
Djibouti,65.85385603137794,65.9111673464027,71.91943076202112,60.864817391928085,63.04837362248404,64.43904468964949
Germany,38.362174072300284,39.140395804827186,30.9853094446376,31.788677205007136,51.394195549642404,14.707128816722411
Niger,51.649100561701374,51.73025331593287,61.00061799216003,50.753770903481374,41.40330414812695,63.79849013785852
Serbia,48.76325104916786,48.84924744930792,50.66891486890594,48.69960259046978,45.38163710552739,52.9744823944849
Cote d'Ivoire,61.39714944241844,61.46194094951197,63.60520455014331,57.692501782375224,61.3038237955842,58.04553731240267
Guam,43.143530489130264,43.238959098531296,46.7563149764686,44.699445322298686,36.39806940188964,53.334272740316834
Nepal,73.69936824694364,73.74351155615989,73.4156037147401,66.4493090719575,79.68436468257603,59.851806630408056
Solomon Islands,69.08594384198737,69.13783038041447,67.82969707385533,63.165440600653966,74.76011470293747,55.89598305290197
Cocos (Keeling) Islands,41.50878392938989,41.60695631785884,45.533122771057386,43.53582103480932,33.872585203949086,51.935085580629114
Christmas Island,43.273033753490544,43.36824500299328,46.85321524678693,44.79162667164664,36.59813616194788,52.443442310773236
Venezuela,75.83016456061932,75.8707315146577,86.81993478448601,78.3827308401759,59.48035433970059,98.15385507279551
China,40.94297798090774,40.78597213609528,47.66680753541466,35.315881411713484,39.040000782241876,40.00732903531299
Guatemala,52.92458975965195,53.00360171686398,59.55013897890746,54.857320405349256,42.38854182759319,66.92051349462358
Somalia,68.71710120687793,68.76960681539607,84.3191592484023,62.902895776248215,56.88276770916075,81.8173855919314
Nauru,62.15616948094704,62.21968703931656,58.04454246916213,58.23277767178482,68.8031708523379,48.56871351741977
Chile,38.05441894098699,37.51681414617489,36.096096196790015,35.655103131326314,41.990006843526515,32.17317874105005
South Africa,47.892799003971916,47.93116911506468,50.5360651260404,52.72242574781458,38.50179009684431,62.002603648642385
South Georgia/Sandwich Islands,41.50878392938989,41.60695631785884,45.533122771057386,43.53582103480932,33.872585203949086,51.935085580629114
Guinea,67.41436858477356,67.46906071601494,74.07371603961936,61.97560138302672,64.44063565758968,66.98671646222061
Angola,89.03302472042162,89.05143182886978,88.16328348792277,88.63324221370247,87.76353781562719,88.40734482521262
Guinea (Rep Of),51.01645918716312,51.09867377458864,52.6472006063007,50.30345225053967,48.56078471694895,52.04850960193019
Namibia,55.44932794736269,55.524102352429324,52.803464578970505,59.06414521126039,52.58902114770415,59.44874502870244
Anguilla,46.19414793107957,46.284456346018935,49.03892658647652,46.870896625340244,41.11090155174192,52.30228971043254
Antarctica,39.16610192854505,39.26820630377879,43.78022086334782,41.86828323954385,30.253427030052656,51.751483515727394
Chad,85.47522788820349,85.49960644734408,91.03807814587537,74.83145014635873,88.78049865636187,73.29124294295704
Antigua & Barbuda,62.97090363518474,63.03305373356177,61.592063148885714,58.812711267038054,67.02894442571247,53.6181532052437
South Korea,34.2607514557792,33.97336913662271,29.83316768444066,26.620439920093673,46.34948715655509,12.047070300657102
South Sudan,68.62615248625168,68.6788107442398,65.82357920442915,62.83815782674391,75.76561465981857,54.06188254359727
