date,country,economic_risk_pillar_score,trailing_12m_avg
2011-01-01,IDN,-1.5144592592185673,-0.6171147140467839
2012-01-01,IDN,-2.567719314471279,-0.895772514107426
2013-01-01,IDN,-1.740826863482448,-1.0014043077793038
2014-01-01,IDN,-1.038477012000876,-1.0055234971372562
2015-01-01,IDN,0.7461561724641738,-0.8303555301771132
2016-01-01,IDN,0.979028044048482,-0.6658661143384227
2017-01-01,IDN,-0.07298856544977574,-0.6164596519310356
2018-01-01,IDN,0.8481312601696958,-0.5842230008560576
2019-01-01,IDN,0.5059770487262667,-0.5573084800495351
2020-01-01,IDN,0.19330954736407735,-0.5002660685416305
2021-01-01,IDN,-0.7616056785691792,-0.4311983980136702
2022-01-01,IDN,-1.1986354373495773,-0.46850917148075055
2023-01-01,IDN,-0.3190513232667184,-0.36889184348476317
2024-01-01,IDN,-0.6631917421868904,-0.2101812124610641
2025-01-01,IDN,0.32574626143763613,-0.037966785384390425
2006-01-01,IND,-2.311351165481242,-2.311351165481242
2007-01-01,IND,-1.9084252253659988,-2.1098881954236206
2008-01-01,IND,-1.695099363335277,-1.9716252513941726
2009-01-01,IND,-0.2828136681535793,-1.5494223555840243
2010-01-01,IND,-2.7936366360908167,-1.7982652116853828
2011-01-01,IND,-1.9125045606314508,-1.817305103176394
2012-01-01,IND,-0.6811407881596931,-1.6549959153168654
2013-01-01,IND,0.8387057037215868,-1.3432832129370589
2014-01-01,IND,-2.1483325611798727,-1.4327331405195938
2015-01-01,IND,0.9054942828198377,-1.1989103981856506
2016-01-01,IND,2.2750098145395854,-0.8830994697560837
2017-01-01,IND,1.5391030995680455,-0.6812492556457396
2018-01-01,IND,1.1318129552439833,-0.3943189122519708
2019-01-01,IND,1.844272428677277,-0.08159410774836447
2020-01-01,IND,0.39716198015703763,0.09276100420932841
2021-01-01,IND,0.601619995329052,0.16646380949954767
2022-01-01,IND,0.32348102697274933,0.4262236147548448
2023-01-01,IND,-0.20813368619143702,0.5682545209581794
2024-01-01,IND,0.03706151317742931,0.6281047127362728
2025-01-01,IND,-0.21644917853191686,0.5401751392151476
2006-01-01,IRL,-0.8411709827155827,-0.8411709827155827
